Date,Open,High,Low,Close
2021/6/1,17.24,18.530001,15.68,17.9
2021/6/2,17.860001,18.309999,16.74,17.48
2021/6/3,17.73,19.27,17.450001,18.040001
2021/6/4,18.09,18.42,16.18,16.42
2021/6/7,17.34,17.35,15.78,16.42
2021/6/8,16.58,17.75,15.15,17.07
2021/6/9,17.18,17.959999,15.55,17.889999
2021/6/10,18.18,18.290001,16.01,16.1
2021/6/11,16.18,16.200001,15.15,15.65
2021/6/14,16.040001,17.040001,15.04,16.389999
2021/6/15,16.27,17.35,16.139999,17.02
2021/6/16,16.99,19.110001,16.42,18.15
2021/6/17,18.49,19.219999,16.709999,17.75
2021/6/18,16.959999,21.040001,16.92,20.700001
2021/6/21,21.74,21.82,17.809999,17.889999
2021/6/22,17.91,18.32,15.76,16.66
2021/6/23,16.25,16.84,14.86,16.32
2021/6/24,15.99,16.049999,14.19,15.97
2021/6/25,16.040001,16.17,15.21,15.62
2021/6/28,16.07,16.459999,15.39,15.76
2021/6/29,15.69,16.309999,14.1,16.02
2021/6/30,16.18,17.309999,15.58,15.83
2021/7/1,15.62,16.01,15.31,15.48
2021/7/2,15.53,15.54,14.25,15.07
2021/7/6,15.77,17.940001,15.73,16.440001
2021/7/7,16.43,17.639999,16.08,16.200001
2021/7/8,17.74,21.290001,17.74,19
2021/7/9,17.879999,18.129999,16.08,16.18
2021/7/12,16.85,17.52,16.139999,16.17
2021/7/13,16.389999,17.23,15.94,17.120001
2021/7/14,17.34,17.51,15.95,16.33
2021/7/15,16.700001,18.09,16.559999,17.01
2021/7/16,16.799999,18.700001,16.030001,18.450001
2021/7/19,19.610001,25.09,19.27,22.5
2021/7/20,20.889999,22.969999,19.370001,19.73
2021/7/21,19.73,19.82,17.809999,17.91
2021/7/22,17.59,18.450001,17.4,17.690001
2021/7/23,16.98,17.48,16.33,17.200001
2021/7/26,18.67,19.389999,17.530001,17.58
2021/7/27,18.620001,20.440001,18.25,19.360001
2021/7/28,19.41,19.620001,17.52,18.309999
2021/7/29,17.91,18.01,17.190001,17.700001
2021/7/30,19.690001,19.719999,17.530001,18.24
2021/8/2,18.16,19.870001,17.99,19.459999
2021/8/3,19.17,20.440001,17.700001,18.040001
2021/8/4,18.23,18.9,17.67,17.969999
2021/8/5,17.73,17.84,17.23,17.280001
2021/8/6,17.459999,17.5,16.139999,16.15
2021/8/9,17.120001,17.389999,16.59,16.719999
2021/8/10,16.82,17.049999,16.34,16.790001
2021/8/11,16.809999,17.09,16.07,16.17
2021/8/12,16.33,16.42,15.49,15.59
2021/8/13,15.68,15.72,15.19,15.45
2021/8/16,17.049999,17.709999,16.02,16.120001
2021/8/17,17.309999,19.559999,16.709999,17.91
2021/8/18,17.559999,21.639999,17.309999,21.57
2021/8/19,23.120001,24.74,20.370001,21.67
2021/8/20,22.74,23.9,18.18,18.559999
2021/8/23,18.83,18.950001,16.950001,17.15
2021/8/24,16.959999,17.51,16.940001,17.219999
2021/8/25,17.42,17.5,16.459999,16.790001
2021/8/26,17.459999,19.27,17.16,18.84
2021/8/27,17.950001,18.219999,16.110001,16.389999
2021/8/30,16.77,16.799999,15.98,16.190001
2021/8/31,15.98,17.07,15.91,16.48
2021/9/1,16.059999,16.709999,15.68,16.110001
2021/9/2,16.27,16.98,15.73,16.41
2021/9/3,16.27,17.059999,16.08,16.41
2021/9/7,16.940001,18.389999,16.889999,18.139999
2021/9/8,18.969999,19.639999,17.780001,17.959999
2021/9/9,19.440001,19.540001,17.17,18.799999
2021/9/10,17.940001,21.129999,16.99,20.950001
2021/9/13,19.639999,21.18,18.76,19.370001
2021/9/14,19.58,20.469999,18.389999,19.459999
2021/9/15,19.299999,20.27,18.01,18.18
2021/9/16,18.41,19.76,17.65,18.690001
2021/9/17,18.370001,21.51,18.35,20.809999
2021/9/20,24.25,28.790001,23.9,25.709999
2021/9/21,23.41,25.6,21.709999,24.360001
2021/9/22,22.719999,23.4,20.75,20.870001
2021/9/23,19.91,20.209999,18.42,18.629999
2021/9/24,19.33,20.41,17.629999,17.75
2021/9/27,17.780001,19.32,17.74,18.76
2021/9/28,19.74,24.82,19.709999,23.25
2021/9/29,22.07,23.790001,21.450001,22.559999
2021/9/30,21.48,24.709999,20.6,23.139999
2021/10/1,24.780001,24.889999,20.85,21.1
2021/10/4,22.9,24.58,21.879999,22.959999
2021/10/5,22.92,23.17,20.620001,21.299999
2021/10/6,22.950001,24.4,20.99,21
2021/10/7,20.540001,20.76,19.07,19.540001
2021/10/8,19.459999,19.940001,18.200001,18.77
2021/10/11,19.93,20.450001,18.110001,20
2021/10/12,20.620001,20.809999,18.969999,19.85
2021/10/13,20.139999,20.23,18.440001,18.639999
2021/10/14,18.01,18.08,16.799999,16.860001
2021/10/15,16.639999,16.85,15.72,16.299999
2021/10/18,17.290001,17.93,16.27,16.309999
2021/10/19,16.09,16.309999,15.57,15.7
2021/10/20,15.82,15.89,15.29,15.49
2021/10/21,16.059999,16.110001,14.92,15.01
2021/10/22,15.35,16.389999,14.84,15.43
2021/10/25,16.139999,16.33,15.1,15.24
2021/10/26,15.02,16.709999,14.9,15.98
2021/10/27,15.79,17.290001,15.54,16.98
2021/10/28,17.059999,17.16,16.23,16.530001
2021/10/29,17.4,18.059999,16.129999,16.26
2021/11/1,16.85,17.700001,16.32,16.41
2021/11/2,16.540001,16.65,15.89,16.030001
2021/11/3,16.110001,16.389999,14.9,15.1
2021/11/4,15.06,16.139999,14.73,15.44
2021/11/5,15.59,17.02,14.95,16.48
2021/11/8,17.23,17.690001,16.440001,17.219999
2021/11/9,17.43,18.57,17.209999,17.780001
2021/11/10,17.74,19.9,17.219999,18.73
2021/11/11,18.34,18.389999,17.27,17.66
